"Employee ID","User Access","Last Name","Middle Name","First Name","Marital Status","Home Address","Current Address","Birthday","Gender","Nationality","Shirt Size","Email Address","Mobile Number","Hired On","Employment Type","Position","Division","Group","Line","Department","Section","Image File","SSS Number","Pagibig","Philhealth","TIN","Drivers License","National ID","Passport","HMO","HMO Number","Salary Rate","Salary Type"
"99987","Administrator","Agustin","Tore","Peter","Married","Banay-banay, Cabuyao, Laguna","Sto. Tomas, Binan, Laguna","15/07/2021","Male","Filipino","M","user@gmail.com","09274884134","22/06/2021","Regular","Driver","Administration","Warehouse","Line 1","Accounting","Assembly","","25-65985623-56","1023-4567-8090","0102-5131-5642","25-65985623-56","25-65985623-56","25-65985623-56","25-65985623-56","Maxicare","911-87726-04","20000","Monthly"
"99989","Staff","Lopez","Cruz","Tony","Single","Banay-banay, Cabuyao, Laguna","Sto. Tomas, Binan, Laguna","15/07/2021","Male","Filipino","M","user@gmail.com","09274884134","22/06/2021","Regular","Driver","Administration","Warehouse","Line 1","Accounting","Assembly","","25-65985623-56","1023-4567-8090","0102-5131-5642","25-65985623-56","25-65985623-56","25-65985623-56","25-65985623-56","Maxicare","911-87726-04","20000","Monthly"
"99998","Staff","User","Test","HRCare","Married","Banay-banay, Cabuyao, Laguna","Sto. Tomas, Binan, Laguna","15/07/2021","Male","Filipino","M","user@gmail.com","09274884134","22/06/2021","0","0","Administration","0","Line 1","Accounting","0","","25-65985623-56","1023-4567-8090","0102-5131-5642","25-65985623-56","25-65985623-56","25-65985623-56","25-65985623-56","0","911-87726-04","30000","Monthly"
"ABC00001","Administrator","Smith","Marie","Ethan","Married","111 Guava Court, Barangay Guadalupe, Cebu City, Cebu","112 Guava Court, Barangay Guadalupe, Cebu City, Cebu","15/08/1990","Male","Filipino","M","smith@example.com","09274884134","22/07/2023","Probationary","Supervisor","IT","External","Line 2","Accounting","QA Control","ABC00001.jpg","10-65985623-99","1023-4567-8090","0102-5131-5642","25-65985623-56","26-65985623-56","60-87654321-49","28-69583265-78","Philcare","911-87726-04","1","Monthly"
"ABC00002","Staff","Johnson","Elizabeth","Ava","Married","999 Avocado Road, Barangay Lahug, Cebu City, Cebu","1000 Avocado Road, Barangay Lahug, Cebu City, Cebu","16/07/1990","Male","Filipino","M","johnson@example.com","","22/07/2023","Probationary","HR Staff","IT","Warehouse","Line 2","Accounting","QA Control","3.png","11-87654321-98","8653-4567-8090","8788-1797-1208","36-45982635-67","48-63592856-98","61-13579246-48","39-85362589-91","Maxicare","912-87726-04","20000","Monthly"
"ABC00003","Staff","Williams","Grace","Noah","Married","888 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","889 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","17/07/1990","Male","Filipino","M","williams@example.com","09192327586","22/07/2023","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","4.png","12-12345678-97","1967-4567-8090","8889-2808-2319","41-56983526-38","55-89256325-21","62-24681357-47","47-92583652-14","0","913-87726-04","20000.05","Monthly"
"ABC00004","Staff","Jones","James","Olivia","Married","777 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","778 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","18/07/1990","Male","Filipino","M","jones@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","5.png","13-98765432-96","5834-4567-8090","8990-3919-3420","58-35986542-77","70-53962586-44","63-98765432-46","56-36598528-36","0","914-87726-04","20000","Monthly"
"ABC00005","Staff","Brown","Michael","Liam","Married","666 Mango Street, Barangay Lahug, Cebu City, Cebu","667 Mango Street, Barangay Lahug, Cebu City, Cebu","19/07/1990","Male","Filipino","M","brown@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","14-24681357-95","4702-4567-8090","9091-4020-4531","69-96885253-89","81-89526352-66","64-31415926-45","68-89526353-59","0","915-87726-04","20000","Monthly"
"ABC00006","Staff","Davis","Anne","Emma","Married","555 Apple Drive, Barangay Talamban, Cebu City, Cebu","556 Apple Drive, Barangay Talamban, Cebu City, Cebu","20/07/1990","Male","Filipino","M","davis@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","15-13579246-94","3185-4567-8090","9192-5131-5642","72-98526539-91","98-32598652-89","65-27182818-44","76-53928562-71","0","916-87726-04","20000","Monthly"
"ABC00007","Staff","Miller","Lee","Jackson","Married","444 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","445 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","21/07/1990","Male","Filipino","M","miller@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","16-31415926-93","1789-4567-8090","9293-6242-6753","84-75982635-44","07-58623598-11","66-77777777-43","83-92856325-93","0","917-87726-04","20000","Monthly"
